State,Year,Cases,Real_Population,Cases_Per_100k,Cases_Per_10k,Cases_Per_1k
SARAWAK,2005,1411,2282400.0,61.82089029092184,6.182089029092184,0.6182089029092184
SABAH,2005,1901,2897000.0,65.61960648947186,6.561960648947187,0.6561960648947187
LABUAN,2005,36,80800.0,44.55445544554456,4.455445544554456,0.44554455445544555
PERLIS,2006,193,224400.0,86.00713012477719,8.60071301247772,0.8600713012477719
KEDAH,2006,1907,1847500.0,103.22056833558864,10.322056833558864,1.0322056833558864
PULAU PINANG,2006,2653,1484100.0,178.7615389798531,17.87615389798531,1.7876153897985312
PERAK,2006,2007,2279300.0,88.05334971263107,8.805334971263107,0.8805334971263107
SELANGOR,2006,12264,4986200.0,245.95884641610849,24.595884641610844,2.4595884641610843
WPKL/PUTRAJAYA,2006,7804,1577500.0,494.7068145800317,49.47068145800317,4.9470681458003165
N.SEMBILAN,2006,1201,967000.0,124.19855222337124,12.419855222337127,1.2419855222337126
MELAKA,2006,957,755000.0,126.7549668874172,12.675496688741722,1.267549668874172
JOHOR,2006,2726,3134400.0,86.97039305768249,8.697039305768248,0.8697039305768249
PAHANG,2006,1358,1421200.0,95.55305375738811,9.555305375738813,0.9555305375738813
TERENGGANU,2006,726,995900.0,72.89888543026409,7.289888543026408,0.7289888543026408
KELANTAN,2006,2014,1507600.0,133.58981162111965,13.358981162111965,1.3358981162111965
SARAWAK,2006,1821,2324900.0,78.32594950320444,7.832594950320443,0.7832594950320444
SABAH,2006,911,2962900.0,30.74690337169665,3.074690337169665,0.3074690337169665
LABUAN,2006,14,82000.0,17.073170731707314,1.7073170731707317,0.17073170731707316
PERLIS,2007,311,227200.0,136.8838028169014,13.68838028169014,1.368838028169014
KEDAH,2007,2584,1874200.0,137.87215878774944,13.787215878774944,1.3787215878774943
PULAU PINANG,2007,3106,1507800.0,205.9954901180528,20.59954901180528,2.059954901180528
PERAK,2007,2889,2306400.0,125.26014568158168,12.526014568158168,1.2526014568158168
SELANGOR,2007,15891,5127100.0,309.94129234850107,30.99412923485011,3.0994129234850107
WPKL/PUTRAJAYA,2007,7439,1603300.0,463.9805401359696,46.398054013596955,4.639805401359696
N.SEMBILAN,2007,1275,983500.0,129.63904422979155,12.963904422979157,1.2963904422979156
MELAKA,2007,732,772800.0,94.72049689440996,9.472049689440995,0.9472049689440994
JOHOR,2007,3363,3193500.0,105.30765617660876,10.530765617660874,1.0530765617660873
PAHANG,2007,2657,1441400.0,184.33467462189537,18.43346746218954,1.843346746218954
TERENGGANU,2007,1269,1010400.0,125.59382422802852,12.559382422802852,1.2559382422802852
KELANTAN,2007,3503,1529100.0,229.0890066051926,22.908900660519258,2.290890066051926
SARAWAK,2007,1845,2366100.0,77.97641688855077,7.7976416888550775,0.7797641688855077
SABAH,2007,1953,3032300.0,64.40655607954358,6.4406556079543575,0.6440655607954358
LABUAN,2007,29,83200.0,34.855769230769226,3.485576923076923,0.3485576923076923
PERLIS,2008,184,230100.0,79.96523250760538,7.996523250760538,0.7996523250760539
KEDAH,2008,1678,1900200.0,88.30649405325755,8.830649405325756,0.8830649405325756
PULAU PINANG,2008,2324,1531300.0,151.7664729314961,15.176647293149612,1.5176647293149612
PERAK,2008,4219,2331600.0,180.94870475210155,18.094870475210154,1.8094870475210156
SELANGOR,2008,21262,5268500.0,403.5683780962323,40.35683780962324,4.035683780962324
WPKL/PUTRAJAYA,2008,5446,1628900.0,334.3360550064461,33.4336055006446,3.3433605500644608
N.SEMBILAN,2008,1405,999600.0,140.5562224889956,14.05562224889956,1.405562224889956
MELAKA,2008,830,790500.0,104.99683744465528,10.499683744465528,1.0499683744465529
JOHOR,2008,3908,3252300.0,120.16111674814746,12.016111674814747,1.2016111674814747
PAHANG,2008,1327,1461600.0,90.79091406677614,9.079091406677612,0.9079091406677613
TERENGGANU,2008,1721,1025200.0,167.86968396410455,16.786968396410455,1.6786968396410455
KELANTAN,2008,2399,1549800.0,154.79416698928893,15.479416698928894,1.5479416698928894
SARAWAK,2008,1517,2408400.0,62.987875768144825,6.298787576814482,0.6298787576814482
SABAH,2008,1045,3105100.0,33.65431065022061,3.3654310650220607,0.33654310650220604
LABUAN,2008,70,84600.0,82.74231678486997,8.274231678486998,0.8274231678486997
PERLIS,2009,191,233000.0,81.97424892703863,8.197424892703863,0.8197424892703863
KEDAH,2009,750,1925300.0,38.95496805692619,3.895496805692619,0.3895496805692619
PULAU PINANG,2009,2444,1554300.0,157.2412018271891,15.72412018271891,1.572412018271891
PERAK,2009,2734,2355700.0,116.05892091522688,11.605892091522689,1.160589209152269
SELANGOR,2009,18676,5417800.0,344.7155672044003,34.471556720440034,3.447155672044003
WPKL/PUTRAJAYA,2009,3746,1652800.0,226.64569215876088,22.66456921587609,2.2664569215876087
N.SEMBILAN,2009,1057,1014900.0,104.14819194009262,10.414819194009262,1.0414819194009262
MELAKA,2009,769,807800.0,95.1968308987373,9.51968308987373,0.9519683089873731
JOHOR,2009,2528,3309400.0,76.38846920892004,7.6388469208920045,0.7638846920892004
PAHANG,2009,907,1481700.0,61.213471013025575,6.1213471013025575,0.6121347101302558
TERENGGANU,2009,968,1040700.0,93.01431728644182,9.301431728644182,0.9301431728644183
KELANTAN,2009,1031,1570000.0,65.6687898089172,6.56687898089172,0.656687898089172
SARAWAK,2009,4490,2450800.0,183.2054839236168,18.32054839236168,1.8320548392361677
SABAH,2009,1170,3181100.0,36.77973028197793,3.6779730281977936,0.36779730281977935
LABUAN,2009,25,86300.0,28.968713789107763,2.8968713789107765,0.28968713789107764
PERLIS,2010,215,235800.0,91.17896522476676,9.117896522476675,0.9117896522476675
KEDAH,2010,782,1949300.0,40.116965064382086,4.011696506438208,0.4011696506438209
PULAU PINANG,2010,1834,1575900.0,116.37794276286566,11.637794276286566,1.1637794276286566
PERAK,2010,2288,2379000.0,96.17486338797816,9.617486338797814,0.9617486338797815
SELANGOR,2010,16367,5502100.0,297.468239399502,29.7468239399502,2.9746823939950198
WPKL/PUTRAJAYA,2010,4205,1748200.0,240.53311978034552,24.05331197803455,2.4053311978034553
N.SEMBILAN,2010,1501,1029500.0,145.7989315201554,14.579893152015542,1.4579893152015542
MELAKA,2010,1485,823600.0,180.30597377367656,18.030597377367656,1.8030597377367654
JOHOR,2010,4406,3362900.0,131.01787147997263,13.101787147997266,1.3101787147997266
PAHANG,2010,1688,1501900.0,112.39097143618083,11.239097143618084,1.1239097143618084
TERENGGANU,2010,1472,1055400.0,139.47318552207693,13.947318552207694,1.3947318552207695
KELANTAN,2010,3578,1589900.0,225.04560035222343,22.504560035222344,2.2504560035222343
SARAWAK,2010,4240,2487100.0,170.47967512363795,17.047967512363797,1.7047967512363797
SABAH,2010,2091,3260000.0,64.14110429447852,6.414110429447852,0.6414110429447852
LABUAN,2010,19,88200.0,21.54195011337869,2.1541950113378685,0.21541950113378686
PERLIS,2011,110,237300.0,46.35482511588707,4.635482511588706,0.46354825115887066
KEDAH,2011,514,1971800.0,26.06755249011056,2.606755249011056,0.26067552490110557
PULAU PINANG,2011,1579,1601000.0,98.62585883822612,9.86258588382261,0.9862585883822611
PERAK,2011,1411,2402700.0,58.72560036625463,5.872560036625463,0.5872560036625463
SELANGOR,2011,7758,5600300.0,138.52829312715392,13.852829312715391,1.3852829312715391
